,Vocab,Meaning
FALSE,Section 1,
TRUE,Cosmopolitan,adj 见多识广的，游历四方的，来自世界各地的
TRUE,Capricious,Adj 多变的，变化多的
TRUE,insular,Adj 孤立的
TRUE,Mercenary,Adj 唯利是图的
TRUE,empirical,adj 基于观察经验的，实验表明的
TRUE,Intransigent,Adj 坚持的，不妥协的
TRUE,Clamorous,Adj 吵闹的
TRUE,Prescient,Adj 预见性的
TRUE,numinous,Adj 超自然的
TRUE,Sonorous,adj 大，好，高兴的声音
TRUE,dearth,n 匮乏
FALSE,invidious,Adj 引起反感的
TRUE,gainsay,v 否认
TRUE,adhoc,Adj 临时决定的
TRUE,sterling,Adj 优秀的
TRUE,exhaustive,adj 彻底穷尽的
FALSE,fickle,adj 多变的
TRUE,antiquarian,Adj 古文物研究的
TRUE,Succumb,v屈服于
TRUE,recoil,v 畏缩
TRUE,archaic,Adj 过时的，旧的
TRUE,epilogue,N 电影书籍的尾声
TRUE,hyperbole,n 夸张
TRUE,apathetic,Adj 冷淡的，无趣的
FALSE,Section 2,
TRUE,Impenetrable ,adj 无法理解的
TRUE,Didactic,Adj 说教的
TRUE,Self-perpetuating ,adj 自我持续的
TRUE,Lop-sided,adj 不公平
TRUE,feeble,adj 虚弱的
TRUE,Unimpeded,Adj 未受到妨碍的
TRUE,Ameliorate/meliorate,v 改善
TRUE,honorific,Adj 尊敬的
TRUE,Malign,Adj 有害的
FALSE,brook,v 忍受
FALSE,repudiate,v 拒绝接受，与…断绝关系
TRUE,regurgitate,v 反刍
TRUE,fecundity,N多产，肥沃
TRUE,sanguinity,N 乐天，自信
TRUE,verisimilitude,N 真实性
TRUE,cordiality,N有好的
TRUE, irascibility,N易怒
TRUE, conviviality,N 欢乐高兴宴请四方
TRUE,diffidence,N 羞怯
TRUE,exasperation,N 恼怒
FALSE,Section 3 ,
TRUE,Contemptuous ,Adj 蔑视的
TRUE,decry,v谴责
TRUE,condone,v宽恕与condemn区分一下
TRUE,downplay,v轻描淡写
TRUE,loath,Adj 不情愿的
TRUE,emulate,v模拟
TRUE,censure,v批评
FALSE,ambivalence,N矛盾
TRUE,supplant,v代替
TRUE,sift,v筛选
TRUE,Neophyte,N新手
TRUE,novice,N新手
TRUE,convoluted,Adj 复杂的
TRUE,culinary,Adj 食物的
TRUE,unwarranted,Adj 没有根据的，未经过授权的
FALSE,Section 4,
TRUE,motley,Adj 混杂的，由多个事物组成的
TRUE,Anomalous,Adj反常的
TRUE,Haphazard,Adj杂乱的，无计划的，没有调理的
TRUE,“mar”,v破坏
FALSE,nepotistic,Adj裙带关系
TRUE,Partisanship,N偏袒
TRUE,vacillate,v犹豫不决
TRUE,contagious,Adj有感染力的
TRUE,Flippancy,N轻率无礼的
TRUE,tendentious,Adj 有偏见的，有倾向的
TRUE,Discursion,N漫谈离题
TRUE,stigma,N恨意，很严重的偏见
TRUE,Blemish,N瑕疵
TRUE,Hodgepodge,N大杂烩
TRUE,patchwork,N大杂烩
TRUE,fractious,Adj易怒的
TRUE,disparate,adj 不同的
TRUE,mediocre,Adj普通一般的
FALSE,Section 5,
TRUE,enigmatic,Adj 迷一般的
TRUE,Impetuous,Adj 轻率的，冲动的，鲁莽的
TRUE,Boorish,Adj粗鲁，乡土气息的
TRUE,circumspect,Adj 谨慎的，考虑周到的，慎重的
TRUE,glean,v收集
TRUE,jettison,v拒绝
TRUE,contrive,v设法做到
TRUE,calamitous,Adj灾难的
TRUE,dichotomous,Adj有分歧的
TRUE,subvert,v颠覆，破坏
TRUE,efficacious,Adj有效的
TRUE,Trifling,Adj不重要的
TRUE,Precarious,Adj危险的
TRUE,deleterious,Adj有害的
TRUE,inbreed,v近亲繁殖
FALSE,Section 6,
TRUE,Incommensurable ,Adj不能相比的
TRUE,Anachronistic,Adj 过去的，时代错误的
TRUE,innocuous,Adj平淡乏味的
TRUE,acrimony,N 尖锐，犀利
TRUE,dissension,N意见分歧
TRUE,comity,N友好，和谐
TRUE,conformity,N遵从，一致
TRUE,mordancy,N尖酸刻薄
TRUE,extrapolate,v推测
TRUE,Insurmountable ,Adj 无法解决的，无法战胜的（问题，困难）
TRUE,steadfast,adj 坚定不移的
TRUE,improvise,v即兴表演
TRUE,oust,v逐出
TRUE,Sanction,v制裁
TRUE,Coagulation ,v凝结
TRUE,nullify,v使无效
TRUE,obviate,v避免
TRUE,mitigate,v减少，减轻
TRUE,belie,v掩盖，证明…错误
TRUE,accentuate,v强调
TRUE,quirky,adj 奇怪的，in an interesting way，古怪，离奇
FALSE,undue,Adj 过度的
FALSE,Section 7,
TRUE,Felicitous,Adj恰当的，善于措辞的，幸福的
TRUE,eclipse,v丧失，超过
TRUE,bolster,v支持
TRUE,corroborate,v为了支持，或者帮助证明，从而提供证据 证实，使坚定
TRUE,outstrip,v超过，优于
TRUE,erudite,Adj 博学的
TRUE,edify,v启发
TRUE,Precipitate,Adj 轻率的， v不好的事情突然发生，突然降临，发生
TRUE,acrimonious,Adj尖酸刻薄的
TRUE,Fungible ,Adj可替代的
TRUE,connoisseur,N鉴赏家
TRUE,unfounded,Adj莫须有的，没有根据的
TRUE,Untenable ,Adj 经不起反驳的，站不住脚的
TRUE,Condescending ,Adj高人一等的，condescend -> 表现出高人一等的
TRUE,obscure,Adj不出名的，晦涩的，难懂的，模模糊糊的
TRUE,onerous,Adj繁重的
TRUE,opaque,Adj 不透明的
TRUE,Exacting ,Adj苛刻的，要求严格的
FALSE,Section 8,
TRUE,Magisterial,Adj 权威的
TRUE,Draconian,Adj 法律，措施等严厉的，残酷的
TRUE,Rapacious,Adj贪婪的
TRUE,upkeep,v维护
TRUE,Debunk,v揭穿真相
TRUE,osteoporosis,N骨质疏松
TRUE,malady,N疾病
TRUE,assuage,v缓和，减轻
TRUE,profess,v宣称
TRUE,disown,v断绝与…的关系
TRUE,Antediluvian,Adj陈旧的
TRUE,Flighty,Adj反复无常的，不稳定的
TRUE,Chauvinistic,Adj盲目爱国心
TRUE,Patronizing,Adj傲慢的，看不起别人的，以高人一等的姿态
TRUE,envisage,v展望
TRUE,disregard,v忽视，轻视
FALSE,Section 9,
TRUE,loquacious,adj 话多的
TRUE,irascible,Adj易怒的
TRUE,Perfidious,Adj 背信弃义，perfidy 不实诚
TRUE,Voracious ,Adj贪婪的，贪吃的
TRUE,Burlesque,N滑稽讽刺表演作品
TRUE,Pastiche,N大杂烩
TRUE,Parody,N拙劣的模仿
TRUE,Esoteric,Adj深奥难懂的
TRUE,Apropos,Adj恰当的，恰好的
TRUE,Churlish,Adj粗鲁的
TRUE,Cagey,Adj小心谨慎的，守口如瓶的
TRUE,Conjecture,N推测
TRUE,Pugnacious,Adj好挑衅的
TRUE,Punctilious,Adj谨小慎微的
TRUE,Complacent,Adj自满的， compliment 表扬
FALSE,Truculent,Adj好斗的
TRUE,Arduous,Adj艰巨的
TRUE,Clandestine,Adj秘密的
TRUE,Perilous,Adj危险的
TRUE,Stave off,避开
TRUE,Forestall,v预先阻止
TRUE,Evanescent,Adj短暂的
TRUE,Prosaic,Adj乏味的
FALSE,Section 10,
TRUE,Proprietary,Adj以所有者自居的
TRUE,Didactic,Adj说教的
TRUE,Esoteric,Adj深奥难懂的
TRUE,Obscure,Adj深奥难懂的
TRUE,Quixotic,Adj不切实际的，堂吉柯德式的
TRUE,Skullduggery,v欺骗
TRUE,Indolence,N懒散
TRUE,Incivility,N粗鲁
FALSE,Conciliatory,Adj安抚的
TRUE,Buoy,v支持
TRUE,Stoicism,n坚忍克己
TRUE,Insouciance,N漫不经心，无忧无虑，满不在乎
TRUE,Quadrant,N四分仪
TRUE,Belie,v掩盖
TRUE,Knotty,adj复杂的
TRUE,Mundane,Adj世俗的，平凡的
TRUE,Vapid,Adj乏味的
TRUE,Sagacious,Adj洞察事理的，显示出聪慧的
TRUE,Banal,Adj平庸的
TRUE,Extraneous,Adj无关的，外来的
FALSE,Section 11,
TRUE,Quixotic,Adj堂吉柯德式的，荒谬的
TRUE,Apt,Adj恰当的
TRUE,Exposition,N展览，展出
TRUE,Elucidation,N阐明
TRUE,Animadversion,N谴责
TRUE,Culmination,N顶点
TRUE,Divination,N预言，占卜
TRUE,Encumber,v妨碍
TRUE,Replete,adj充满
TRUE,Anachronistic,Adj时代错误的
TRUE,Polemical,Adj挑起辩论的
TRUE,Rapacious,adj贪婪的
TRUE,Avaricious,Adj贪婪的
TRUE,Limpid,Adj透明的，平静的，清澈的
TRUE,Pellucid,Adj透明的，清晰的，清澈的
FALSE,Section 12,
TRUE,hominid,Adj人科的
TRUE,extraneous,Adj无关的，外来的
TRUE,conjectural,Adj推测的
TRUE,Perfunctory,Adj敷衍的，敷衍的，马虎的
TRUE,overt,Adj明显的，公开的，不隐瞒的
TRUE,futility,N无效，徒劳，无价值
TRUE,garrulous,Adj话多的
TRUE,mercurial,Adj反复无常的
TRUE,partiality,N偏袒
TRUE, discredit,v使。。。被怀疑，使。。。丧失信用
TRUE,intoxicate,v使陶醉
TRUE,abound,v非常多
TRUE,proliferate,v激增
TRUE,stagnate,v停滞
TRUE,coalesce,v合并
TRUE,serenity,N宁静
TRUE,decadence,N衰落
TRUE, degeneracy,N堕落，退化
FALSE,Section 13,
TRUE,Histrionic,Adj不自然的
TRUE,egalitarian,Adj平等主义的
TRUE,indolent,Adj懒惰的
TRUE,charismatic,Adj有魅力的
TRUE,imperturbable,Adj沉着的
TRUE,Disposition,N性情
TRUE,volatile,Adj易变的
TRUE,duplicitous,Adj两面派的
TRUE,blithe,Adj愉快的，无忧无虑的
FALSE,feckless,Adj没有价值的，无效的，软弱的，没有精神的
FALSE,munificent,Adj慷慨的，丰厚的
TRUE,taciturn,Adj沉默寡言的
TRUE,stump,v把…难住
TRUE,paragon,N模范
TRUE,Conundrum ,N难解的问题
TRUE,Palpable,Adj摸得着的，可感知的
TRUE,Nebulous,Adj模糊的
TRUE,Nettlesome,Adj恼人的
TRUE,aberration,N脱离常规
TRUE,mainstay,N支柱
FALSE,Section 14,
TRUE,Boisterous,Adj喧闹的
TRUE,Pretentious,Adj自命不凡的，自负的
TRUE,idiosyncrasy,N某人特有的气质
TRUE,univocal,Adj意义明确的，单一意思的
TRUE,slacken,v放慢
TRUE,commence,v开始
TRUE,panacea,N万能之计
FALSE,extravagant,Adj过度的
TRUE, minuscule,Adj极不重要的
TRUE,concession,N让步，迁就
TRUE,imperative,Adj必要的，非常重要的，紧急的
TRUE,covert,Adj秘密的
TRUE, arduous,艰巨的
FALSE,Section 15,
TRUE,metaphorical,Adj隐喻的
TRUE,Sectarian,Adj派系的
TRUE,baroque,Adj复杂精美的
TRUE,Capricious,Adj变化多的
TRUE,sycophancy,N拍马屁
TRUE,solitude,N独处
FALSE,obeisance,N敬意
TRUE,mixed,Adj混杂的，前后不一致的
TRUE,debilitate,v使虚弱
TRUE,Plentitude,N充分
TRUE,debunk,v揭露真相
TRUE,intangible,N无形的
TRUE,wary,Adj谨慎的
TRUE,muddle,v困惑
FALSE,convivial,Adj好交际的
FALSE,profusion,N丰富
TRUE,resurgance,N复苏
FALSE,Section 16,
TRUE,Specious,adj假的
TRUE,Ambivalent,Adj矛盾的
TRUE,Perfunctory,Adj敷衍的
FALSE,egregious,Adj破坏的
TRUE,empirical,Adj以观察或者实验为依据的
TRUE,evenhanded,Adj公平的
TRUE,Scathing,Adj严厉的
TRUE,Confessional,Adj自白的，忏悔的，坦白的
TRUE,aspirant,N有抱负的人
TRUE,ubiquity,N无所不在
TRUE,omnipresence,N无所不在
TRUE,indict,v起诉
TRUE,rehabilitate,v使复原
TRUE,exalt,v赞扬
TRUE,valorize,v赞扬
TRUE,Excoriate,v指责
TRUE,quandary,N左右为难
TRUE,ploy,策略
FALSE,Section 17,
TRUE,Usher,v开创
TRUE,Sycophantic,Adj拍马屁的
TRUE,censorious,Adj苛责的，挑剔的，收到批判的
TRUE,pedantic,Adj迂腐的
TRUE,Wherewithal,N必要设备，必要的资金或手段
TRUE,solemnity,N庄严
TRUE,panache,N派头
TRUE,precede,v在…之前发生或出现
TRUE,supplant,v代替
TRUE,speculative,Adj推理的
TRUE,credulous,Adj易受骗的，易轻信的，因为轻信而产生的
TRUE,pseudoscience,N伪科学
TRUE,scold,v责骂，训斥
TRUE,endeavor,v/n努力，尝试 
TRUE,abnegate,v放弃，舍弃，禁忌
TRUE,recapitulate,v摘要
TRUE,accretion,N堆积
TRUE,elusive,Adj难抓住的，难以理解的，难以捉摸的
TRUE,Elitist,n杰出人物
TRUE,Scrutiny,N仔细的观察
TRUE,Panoply,N全套
TRUE,spike,N价格突然上升
TRUE,upsurge,N高涨
TRUE,harbinger,N预兆
TRUE,portent,N预兆
TRUE,Lull,N间歇，v哄骗，使放松警惕，n减弱，平息，停止
TRUE,Respite,n暂缓
TRUE,incisive,Adj透彻的
TRUE,gratify,v使满意
TRUE,entice,v怂恿
TRUE,amalgam,N混合物
TRUE,collegiality,N共同掌权
TRUE,meticulous,Adj谨小慎微的，一丝不苟
TRUE,Eminence,N显赫，卓越
TRUE,Encyclopedic,Adj学识渊博的
TRUE,long-winded,Adj啰嗦的，冗长的
TRUE,rambling,Adj冗长含糊的
TRUE,Overbearing,Adj傲慢的
TRUE,Undiscriminating,Adj一视同仁的
FALSE,Section 18,
TRUE,concur,v意见一致的
TRUE,contentious,adj引起争议的
TRUE,methodical,Adj有条不紊的
TRUE,Synopses,N大纲
TRUE,awry,Adj错误的
TRUE,Astute,Adj精明的
TRUE,customary,Adj习惯的
TRUE,acquiesce,v默许
TRUE,empower,v给（某人）的权力
TRUE,Overextend,v过分拓展
TRUE,pseudonym,N化名
TRUE,remuneration,N酬金
TRUE,languish,v衰败
TRUE,high-minded,Adj高尚的
TRUE,Unimpeachable,Adj无可指责的，无可怀疑的，
TRUE,blameless,Adj无可指责的
TRUE,Unassuming,adj谦逊的
TRUE,acerbic,Adj尖酸的
TRUE,cutting,Adj尖酸的
TRUE,punctuate,v强调的
TRUE,correspondence,N信件
TRUE,Self-deprecating,Adj谦虚的
TRUE,seditious,Adj煽动性的
TRUE,confound,v使混淆
FALSE,Section 19,
TRUE,melodramatic,Adj感情夸张的
TRUE,Keep sth at bay ,阻挡，抵制
TRUE,mawkish,Adj易伤感的
TRUE,Austerity,N朴素
TRUE,Ostentatious,Adj炫耀的
TRUE,emotive,Adj表现感情的
TRUE,Remunerative,Adj有酬劳的
TRUE,Spartan,Adj清苦的，勇敢守纪律的人，斯巴达式的
TRUE,Conceivable,Adj可想到的
TRUE,erratic,Adj反复无常的
TRUE,Periphery,Adj边缘地带
TRUE,Unwieldy,Adj笨重的
TRUE,ephemeral,Adj短暂的
TRUE,gravitate,v被吸引
TRUE,eccentricity,N怪癖
TRUE,predilection,N嗜好
TRUE,proclivity,N癖性
TRUE,Wavering,N犹豫
TRUE,restive,Adj难以驾驭的
TRUE,cynical,Adj愤世嫉俗，认为人皆自私的
TRUE,compliant,Adj遵从的
TRUE,tractable,Adj易驾驭的
TRUE,snag,N小困难或障碍
TRUE,hitch,N小障碍
TRUE,upshot,N结果
FALSE,Section 20,
TRUE,tractable,Adj易驾驭的
FALSE,impassive,Adj无感情的
TRUE,impotency,N无力
FALSE,demoralize,v使泄气
TRUE,galvanize,v激励
TRUE,daunting,Adj令人畏惧的
TRUE,disinterested,Adj公正的
FALSE,discretionary,Adj自由决定的
TRUE,skirt,v避开，绕开，回避
FALSE,encumber,N揭露
TRUE,revelation,N揭露
TRUE,carnivore,N食肉动物
TRUE,deemphasize,v使不重要
TRUE,doom,v厄运
TRUE,bypass,v避开，绕过
TRUE,ephemeral,Adj短暂的
TRUE,assailable,Adj易攻击的
TRUE,Presume,v推测
TRUE,animate,Adj有生气，v激励，推动
TRUE,thwart,v阻挠
FALSE,Section 21,
FALSE,Egregious,极坏的
FALSE,Unproven,未被证实的
FALSE,Uncontested,无争议的
FALSE,degenerative,退步的
FALSE,Circuitous,迂回的
FALSE,Auspicious,有利的
FALSE,Contention,争论
FALSE,Retroactive,追溯的
FALSE,innocuous,无害的
FALSE,rationale,根本原因
FALSE,stifle,阻止，扼杀
FALSE,Ancillary,辅助的
FALSE,expedite,迅速完成
FALSE,diminutive,小的
FALSE,minuscule,非常小的
FALSE,ethereal,飘渺超凡的
FALSE,Empiricism,经验主义的
FALSE,judicious,明智的
FALSE,Quiescence,静止
FALSE,Section 22,
FALSE,ingenious,聪明的
FALSE,fanciful,空想的，不现实的
FALSE,scrupulous,严谨的
FALSE,Jejune,乏味的
FALSE,Dogmatic,固执己见的
FALSE,utilitarianism,功利主义的
FALSE,Parochialism,狭隘
FALSE,forbear,忍耐
FALSE,purport,自称
FALSE,Erratic,反复无常
FALSE,surfeit,N过量
FALSE,conundrum,难解的问题
FALSE,forgo,放弃（想做的事或想得到的物品）
FALSE,prelude,阻止
FALSE,aerial,空中的
FALSE,manifest,表明，明显的
FALSE,undercut,削弱
FALSE,insipid,枯燥的
FALSE,Conjure up,想起
FALSE,Strip away,剥去
FALSE,Section 23,
FALSE,paucity,缺乏
FALSE,halfhearted,不认真的
FALSE,pragmatic,实际的
FALSE,Condone,宽恕
FALSE,jubilant,欢呼的
FALSE,enervate,使衰弱
FALSE,circumscribe,限制
FALSE,Foreground,强调，突出
FALSE,circumvent,避免
FALSE,proselytizer,改变宗教信仰者
FALSE,deliberation,深思熟虑
FALSE,intelligible,明白易懂的
FALSE,orthodox,传统
FALSE,voluble,爱说话的
FALSE,Accession,同意，赞同
FALSE,subvert,颠覆，破坏
FALSE,slumber,睡眠
FALSE,somnolent,瞌睡的
FALSE,lethargic,昏睡的
FALSE,impartial,公平的，不偏不倚的
FALSE,befuddled,迷糊的
FALSE,laconic,言简意赅的
FALSE,Section 24,
FALSE,inveterate,根深蒂固的
FALSE,harrowing,悲惨的
FALSE,premeditate,预先考虑
FALSE,embolden,鼓励
FALSE,encumber,妨碍
FALSE,derisive,嘲笑的
FALSE,lambast,严厉斥责某人
FALSE,aversion,厌恶
FALSE,staleness,陈腐，腐败，不新鲜
FALSE,inferable,能推理的
FALSE,entail,牵扯
FALSE,antecedent,在先的
FALSE,circumvent,避免
FALSE,evanescence,瞬息
FALSE,demise,消亡
FALSE,shackle,妨碍
FALSE,Stifle,阻止，扼杀
FALSE,Enliven,使生动
FALSE,Admonish,训诫，轻责
FALSE,Section 25,
FALSE,teem,充满
FALSE,roil,扰乱
FALSE,Ebb,减少
FALSE,eminet,杰出的
FALSE,underrate,轻视
FALSE,disseminate,散步
FALSE,molder,腐朽
FALSE,rote,死记硬背的
FALSE,expansionist,领土扩张论者
FALSE,stratify,按等级分化的
FALSE,recant,公开宣布放弃（原先的信仰，观点等）
FALSE,concede,让步
FALSE,rosy,乐观的
FALSE,encomium,赞美词
FALSE,tribute,致敬，颂词
FALSE,Publicity,N媒体的关注，宣传
